::1 - - [22/Sep/2020:10:19:16 +0000] "GET /patients/show_doctors HTTP/1.1" - - "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:10:20:50 +0000] "GET /patients/show_doctors HTTP/1.1" - - "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:10:21:28 +0000] "GET /patients/show_doctors HTTP/1.1" 200 200 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:10:25:45 +0000] "GET /patients/show_doctors HTTP/1.1" 500 321 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:25:46 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:26:58 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:26:58 +0000] "GET /patients/show_doctors HTTP/1.1" 500 321 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:27:56 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:27:56 +0000] "GET /patients/show_doctors HTTP/1.1" 200 212 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:28:11 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:28:11 +0000] "GET /patients/show_doctors HTTP/1.1" 200 216 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:29:46 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:29:46 +0000] "GET /patients/show_doctors HTTP/1.1" 200 262 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:30:16 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:30:16 +0000] "GET /patients/show_doctors HTTP/1.1" 200 243 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:31:08 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:31:08 +0000] "GET /patients/show_doctors HTTP/1.1" 200 227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:31:30 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:31:30 +0000] "GET /patients/show_doctors HTTP/1.1" 200 251 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:12 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:12 +0000] "GET /patients/show_doctors HTTP/1.1" 200 272 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:14 +0000] "GET /patients/book5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:14 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/book5f697b92966d3ad65c902382" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:43 +0000] "GET /patients/book5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:49 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:49 +0000] "GET /patients/show_doctors HTTP/1.1" 200 273 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:51 +0000] "GET /patients/book=5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:32:51 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/book=5f697b92966d3ad65c902382" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:33:58 +0000] "GET /patients/book=5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:37:58 +0000] "POST /patients/login HTTP/1.1" 200 371 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:38:00 +0000] "GET /patients/show_doc.ejs HTTP/1.1" 404 33 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:38:00 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doc.ejs" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:38:47 +0000] "POST /patients/login HTTP/1.1" 200 402 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:38:49 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:38:49 +0000] "GET /patients/show_doctors HTTP/1.1" 304 - "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:39:20 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:39:20 +0000] "GET /patients/show_doctors HTTP/1.1" 200 290 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:44:23 +0000] "GET /patients/book=5f697b92966d3ad65c902382 HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:44:23 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/book=5f697b92966d3ad65c902382" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:10:47:08 +0000] "GET /patients/show_doctors HTTP/1.1" 200 290 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:11:18:35 +0000] "POST /patients/login HTTP/1.1" 200 402 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:18:37 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:18:37 +0000] "GET /patients/show_doctors HTTP/1.1" 200 259 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:18:38 +0000] "GET /patients/book_app.html?id=+doctor._id HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:18:38 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/book_app.html?id=+doctor._id" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:19:28 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/show_doctors" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:11:19:28 +0000] "GET /patients/show_doctors HTTP/1.1" 200 290 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
